Line,Lineset\South (CTK Side) Line 2-ch2
Frequency (MHz),Average Amplitude (mV)
0,0.0694064
4.88281,0.070278
9.76563,0.0699302
14.6484,0.0703658
19.5313,0.071122
24.4141,0.070575
29.2969,0.0740727
34.1797,0.076566
39.0625,0.0781106
43.9453,0.083217
48.8281,0.0924914
53.7109,0.104559
58.5938,0.11412
63.4766,0.128986
68.3594,0.147822
73.2422,0.165249
78.125,0.19004
83.0078,0.218967
87.8906,0.246549
92.7734,0.271421
97.6563,0.298907
102.539,0.331214
107.422,0.351594
112.305,0.366795
117.188,0.390106
122.07,0.409344
126.953,0.43219
131.836,0.460319
136.719,0.47698
141.602,0.491898
146.484,0.51503
151.367,0.534281
156.25,0.541489
161.133,0.543835
166.016,0.544345
170.898,0.534
175.781,0.51663
180.664,0.502919
185.547,0.489435
190.43,0.465255
195.313,0.436818
200.195,0.423011
205.078,0.407458
209.961,0.376673
214.844,0.35029
219.727,0.333808
224.609,0.32424
229.492,0.306861
234.375,0.280097
239.258,0.269198
244.141,0.256492
249.023,0.235196
253.906,0.219637
258.789,0.197618
263.672,0.178712
268.555,0.162401
273.438,0.148627
278.32,0.146478
283.203,0.13289
288.086,0.124591
292.969,0.121143
297.852,0.104764
302.734,0.104011
307.617,0.106537
312.5,0.103404
317.383,0.101508
322.266,0.100882
327.148,0.106061
332.031,0.100274
336.914,0.0957095
341.797,0.0977939
346.68,0.0946179
351.563,0.0991188
356.445,0.099957
361.328,0.099264
366.211,0.101266
371.094,0.0973807
375.977,0.0998268
380.859,0.102636
385.742,0.10209
390.625,0.104316
395.508,0.103304
400.391,0.099126
405.273,0.0970424
410.156,0.0948644
415.039,0.0945087
419.922,0.1012
424.805,0.0916637
429.688,0.0790016
434.57,0.0940331
439.453,0.0885283
444.336,0.0704394
449.219,0.0726049
454.102,0.0718047
458.984,0.0747669
463.867,0.0701953
468.75,0.0671763
473.633,0.0706197
478.516,0.0600742
483.398,0.0654102
488.281,0.0645619
493.164,0.0561252
498.047,0.0700537
502.93,0.0674241
507.813,0.0592072
512.695,0.0619317
517.578,0.0575992
522.461,0.0546449
527.344,0.0535844
532.227,0.0566927
537.109,0.0561119
541.992,0.0512069
546.875,0.0533993
551.758,0.0489196
556.641,0.0503106
561.523,0.0544732
566.406,0.0467671
571.289,0.0490042
576.172,0.0500307
581.055,0.0497269
585.938,0.0544135
590.82,0.0475995
595.703,0.0525487
600.586,0.0590076
605.469,0.0513334
610.352,0.0485685
615.234,0.0466283
620.117,0.0510167
625,0.0510016
629.883,0.0433794
634.766,0.048701
639.648,0.0439046
644.531,0.0414792
649.414,0.0436304
654.297,0.0360604
659.18,0.0426559
664.063,0.0375222
668.945,0.0352033
673.828,0.043386
678.711,0.0366648
683.594,0.0498693
688.477,0.0560427
693.359,0.0438657
698.242,0.042921
703.125,0.0386299
708.008,0.0327528
712.891,0.0427667
717.773,0.0442194
722.656,0.0350087
727.539,0.0401046
732.422,0.0480407
737.305,0.0413174
742.188,0.0350709
747.07,0.0347173
751.953,0.0376235
756.836,0.0402469
761.719,0.0342902
766.602,0.0318418
771.484,0.0326728
776.367,0.0352978
781.25,0.0365409
786.133,0.0363599
791.016,0.0402056
795.898,0.0344797
800.781,0.0383781
805.664,0.0429272
810.547,0.0313101
815.43,0.0400642
820.313,0.0435947
825.195,0.035598
830.078,0.0402477
834.961,0.0383277
839.844,0.0440194
844.727,0.0466767
849.609,0.0350261
854.492,0.0390229
859.375,0.04214
864.258,0.0377247
869.141,0.0331246
874.023,0.0340806
878.906,0.0396186
883.789,0.0283994
888.672,0.0336999
893.555,0.0423565
898.438,0.0312058
903.32,0.037004
908.203,0.0357367
913.086,0.0296058
917.969,0.0384507
922.852,0.0351531
927.734,0.0373769
932.617,0.0331965
937.5,0.0307919
942.383,0.0463534
947.266,0.0414704
952.148,0.0395159
957.031,0.0456163
961.914,0.0326331
966.797,0.0304139
971.68,0.037394
976.563,0.0293093
981.445,0.0232693
986.328,0.0324499
991.211,0.0342311
996.094,0.0292154
1000.98,0.0408059
1005.86,0.0409806
1010.74,0.0240781
1015.63,0.0340383
1020.51,0.038552
1025.39,0.0287744
1030.27,0.0293599
1035.16,0.0292377
1040.04,0.0321594
1044.92,0.0363174
1049.8,0.0392714
1054.69,0.0453198
1059.57,0.0392791
1064.45,0.0240302
1069.34,0.0283889
1074.22,0.0372808
1079.1,0.0364457
1083.98,0.0343336
1088.87,0.0347278
1093.75,0.0351545
1098.63,0.0364517
1103.52,0.0306714
1108.4,0.0265508
1113.28,0.0361442
1118.16,0.0385496
1123.05,0.0318307
1127.93,0.0291204
1132.81,0.0361233
1137.7,0.0390097
1142.58,0.0367813
1147.46,0.0358744
1152.34,0.0301347
1157.23,0.0358592
1162.11,0.0445994
1166.99,0.0346238
1171.88,0.026235
1176.76,0.0360779
1181.64,0.0346033
1186.52,0.0219726
1191.41,0.0253898
1196.29,0.034254
1201.17,0.0321689
1206.05,0.0247071
1210.94,0.0237576
1215.82,0.0329437
1220.7,0.0318051
1225.59,0.0268451
1230.47,0.0305185
1235.35,0.0260402
1240.23,0.0305366
1245.12,0.0302495
1250,0.0183023
