Line,Lineset\Center Line 1 100MHZ (E-W)-ch2
Time (ns),Average Amplitude (mV)
-8,2.42636
-7.6,2.36978
-7.2,2.38491
-6.8,2.4804
-6.4,2.43575
-6,2.38676
-5.6,2.45898
-5.2,2.44633
-4.8,2.34284
-4.4,2.52742
-4,2.41427
-3.6,2.39291
-3.2,2.41444
-2.8,2.42918
-2.4,2.48921
-2,2.4783
-1.6,2.41245
-1.2,2.47734
-0.8,2.47939
-0.4,2.42972
0,2.35623
0.4,2.4481
0.8,2.47748
1.2,2.54348
1.6,2.4779
2,2.44016
2.4,2.47855
2.8,2.47395
3.2,2.41757
3.6,2.41844
4,2.45096
4.4,2.40852
4.8,2.45699
5.2,2.52207
5.6,2.48076
6,2.39166
6.4,2.37789
6.8,2.38134
7.2,2.43231
7.6,2.38388
8,2.4431
8.4,2.43021
8.8,2.40407
9.2,2.46078
9.6,2.46484
10,2.38799
10.4,2.4174
10.8,2.47228
11.2,2.4637
11.6,2.44478
12,2.44692
12.4,2.44266
12.8,2.44778
13.2,2.43635
13.6,2.39507
14,2.43491
14.4,2.43843
14.8,2.4499
15.2,2.36251
15.6,2.41748
16,2.40402
16.4,2.42772
16.8,2.41668
17.2,2.47932
17.6,2.37502
18,2.43322
18.4,2.44973
18.8,2.40517
19.2,2.39431
19.6,2.41174
20,2.50068
20.4,2.45679
20.8,2.44813
21.2,2.34236
21.6,2.41523
22,2.41208
22.4,2.54076
22.8,2.45169
23.2,2.45339
23.6,2.39764
24,2.39626
24.4,2.3578
24.8,2.46281
25.2,2.52965
25.6,2.42965
26,2.32753
26.4,2.35909
26.8,2.42072
27.2,2.49156
27.6,2.45887
28,2.44452
28.4,2.39998
28.8,2.50472
29.2,2.49086
29.6,2.42779
30,2.47339
30.4,2.41478
30.8,2.37297
31.2,2.46983
31.6,2.42373
32,2.33732
32.4,2.43393
32.8,2.50413
33.2,2.41754
33.6,2.3993
34,2.43749
34.4,2.4316
34.8,2.42291
35.2,2.41842
35.6,2.49616
36,2.48217
36.4,2.37669
36.8,2.3998
37.2,2.42099
37.6,2.44539
38,2.4177
38.4,2.40978
38.8,2.38377
39.2,2.2656
39.6,2.40158
40,2.34652
40.4,2.46211
40.8,2.4357
41.2,2.42756
41.6,2.55816
42,2.50196
42.4,2.44803
42.8,2.41785
43.2,2.43334
43.6,2.37891
44,2.36679
44.4,2.4282
44.8,2.40788
45.2,2.44555
45.6,2.37294
46,2.38805
46.4,2.4745
46.8,2.45227
47.2,2.40701
47.6,2.4663
48,2.43235
48.4,2.46248
48.8,2.41821
49.2,2.47152
49.6,2.3888
50,2.49144
50.4,2.37363
50.8,2.47365
51.2,2.4041
51.6,2.43515
52,2.44932
52.4,2.48224
52.8,2.51291
53.2,2.48939
53.6,2.48378
54,2.38219
54.4,2.42217
54.8,2.46969
55.2,2.46474
55.6,2.42953
56,2.36801
56.4,2.36068
56.8,2.42354
57.2,2.40394
57.6,2.4336
58,2.44382
58.4,2.43909
58.8,2.3916
59.2,2.38139
59.6,2.45948
60,2.45965
60.4,2.41415
60.8,2.3698
61.2,2.41279
61.6,2.37282
62,2.47097
62.4,2.40221
62.8,2.44759
63.2,2.45515
63.6,2.37635
64,2.44824
64.4,2.5008
64.8,2.39225
65.2,2.38265
65.6,2.46111
66,2.39626
66.4,2.39001
66.8,2.43741
67.2,2.3571
67.6,2.37852
68,2.41133
68.4,2.40947
68.8,2.41316
69.2,2.43927
69.6,2.36308
70,2.35623
70.4,2.38671
70.8,2.48213
71.2,2.43422
71.6,2.39116
