Line,Lineset\South (CTK Side) Line -ch2
Time (ns),Average Amplitude (mV)
0,16.0072
0.4,23.4494
0.8,23.5478
1.2,18.1121
1.6,8.05556
2,4.55393
2.4,16.7941
2.8,21.4855
3.2,20.09
3.6,15.1402
4,10.5544
4.4,6.21662
4.8,2.05331
5.2,1.83918
5.6,5.14586
6,7.8777
6.4,8.89251
6.8,8.02753
7.2,6.33237
7.6,3.64275
8,1.19952
8.4,0.818332
8.8,1.81425
9.2,2.19813
9.6,2.07257
10,1.59452
10.4,0.939825
10.8,0.695168
11.2,0.475289
11.6,0.108559
12,0.141838
12.4,0.111974
12.8,0.173229
13.2,0.199388
13.6,0.0972959
14,0.159205
14.4,0.0956973
14.8,0.151212
15.2,0.15499
15.6,0.288182
16,0.156734
16.4,0.164509
16.8,0.125925
17.2,0.0170032
17.6,0.138859
18,0.0401827
18.4,0.0061037
18.8,0.144818
19.2,0.0114808
19.6,0.0327711
20,0.0141693
20.4,0.0586391
20.8,0.0647428
21.2,0.249452
21.6,0.177371
22,0.204256
22.4,0.0784762
22.8,0.124472
23.2,0.0348783
23.6,0.0512275
24,0.108268
24.4,0.0423626
24.8,0.0118441
25.2,0.0304458
25.6,0.0939534
26,0.0974412
26.4,0.170686
26.8,0.188706
27.2,0.0147506
27.6,0.0592204
28,0.0313905
28.4,0.0544247
28.8,0.00261587
29.2,0.0103182
29.6,0.0950434
30,0.121711
30.4,0.0725178
30.8,0.0392381
31.2,0.104926
31.6,0.08131
32,0.0580578
32.4,0.0562413
32.8,0.034515
33.2,0.151939
33.6,0.0300825
34,0.0498469
34.4,0.055442
34.8,0.0105362
35.2,0.0700473
35.6,0.0158406
36,0.0527534
36.4,0.0932994
36.8,0.0555873
37.2,0.235719
37.6,0.0792755
38,0.103545
38.4,0.0499922
38.8,0.0722998
39.2,0.0495562
39.6,0.17599
40,0.104562
40.4,0.166617
40.8,0.0166399
41.2,0.020709
41.6,0.123527
42,0.152593
42.4,0.00588571
42.8,0.0715005
43.2,0.100493
43.6,0.134281
44,0.0647428
44.4,0.060601
44.8,0.230633
45.2,0.0313905
45.6,0.0415633
46,0.195464
46.4,0.0500649
46.8,0.110085
47.2,0.0533347
47.6,0.0774589
48,0.114226
48.4,0.138205
48.8,0.128904
49.2,0.0616183
49.6,0.0794208
50,0.0651788
50.4,0.164364
50.8,0.329019
51.2,0.0579852
51.6,0.0882857
52,0.0560959
52.4,0.111683
52.8,0.0296466
53.2,0.0826906
53.6,0.138133
54,0.107832
54.4,0.040982
54.8,0.0708465
55.2,0.177371
55.6,0.211958
56,0.0193284
56.4,0.062127
56.8,0.255048
57.2,0.10805
57.6,0.0742617
58,0.0571859
58.4,0.061909
58.8,0.184201
59.2,0.0909742
59.6,0.120548
60,0.0510822
60.4,0.0366949
60.8,0.0247781
61.2,0.14053
61.6,0.0274667
62,0.0204183
62.4,0.141911
62.8,0.0398921
63.2,0.136461
63.6,0.129122
64,0.0160585
64.4,0.354814
64.8,0.117932
65.2,0.15717
65.6,0.0645975
66,0.183402
66.4,0.0454871
66.8,0.0663414
67.2,0.190014
67.6,0.144236
68,0.168942
68.4,0.0926455
68.8,0.0943167
69.2,0.0568952
69.6,0.0776769
70,0.0871957
70.4,0.101002
70.8,0.0909016
71.2,0.0959153
71.6,0.0459231
72,0.0165672
72.4,0.0386568
72.8,0.149323
73.2,0.0542067
73.6,0.16015
74,0.160077
74.4,0.172357
74.8,0.0922095
75.2,0.0520995
75.6,0.0299372
76,0.0972778
76.4,0.0796694
76.8,0.0940987
77.2,0.10879
77.6,0.0439657
78,0.13184
78.4,0.081092
78.8,0.120548
79.2,0.0640889
79.6,0.160222
