A_east (m),A_north (m),B_east (m),B_north (m),M_east (m),M_north (m),N_east (m),N_north (m),V/I (mOhm),I mA,STD %
-40,0,40,0,-20,-20,-15,-20,5.638,200,0.6
-40,0,40,0,-15,-20,-10,-20,4.487,200,1.8
-40,0,40,0,-10,-20,-5,-20,4.711,200,0.4
-40,0,40,0,-5,-20,0,-20,4.219,200,0.2
-40,0,40,0,0,-20,5,-20,3.955,200,0.6
-40,0,40,0,5,-20,10,-20,4.851,200,4.4
-40,0,40,0,10,-20,15,-20,5.102,200,0.2
-40,0,40,0,15,-20,20,-20,5.607,200,324
-40,0,40,0,15,-10,20,-10,8.809,200,0.1
-40,0,40,0,10,-10,15,-10,6.858,200,0
-40,0,40,0,5,-10,10,-10,5.908,200,0.2
-40,0,40,0,0,-10,5,-10,5.416,200,0.4
-40,0,40,0,-5,-10,0,-10,5.77,200,0.2
-40,0,40,0,-10,-10,-5,-10,6.085,200,0.8
-40,0,40,0,-15,-10,-10,-10,7.676,200,0.3
-40,0,40,0,-20,-10,-15,-10,10.71,200,0
-40,0,40,0,-20,0,-15,0,13.13,200,0.1
-40,0,40,0,-15,0,-10,0,9.368,200,0.2
-40,0,40,0,-10,0,-5,0,7.871,200,0
-40,0,40,0,-5,0,0,0,6.373,200,0.6
-40,0,40,0,0,0,5,0,6.409,200,1.4
-40,0,40,0,5,0,10,0,6.803,200,1.9
-40,0,40,0,10,0,15,0,7.898,200,0.2
-40,0,40,0,15,0,20,0,10.85,200,0
-40,0,40,0,15,10,20,10,8.415,200,0.1
-40,0,40,0,10,10,15,10,6.256,200,0.2
-40,0,40,0,5,10,10,10,5.398,200,0
-40,0,40,0,0,10,5,10,5.73,200,0.1
-40,0,40,0,-5,10,0,10,5.831,200,0.2
-40,0,40,0,-10,10,-5,10,6.588,200,0.1
-40,0,40,0,-15,10,-10,10,8.585,200,0.2
-40,0,40,0,-20,10,-15,10,10.04,200,0
-40,0,40,0,-20,20,-15,20,5.066,200,0.2
-40,0,40,0,-15,20,-10,20,6.436,200,0.1
-40,0,40,0,-10,20,-5,20,4.445,200,0
-40,0,40,0,-5,20,0,20,4.245,200,0.1
-40,0,40,0,0,20,5,20,4.276,200,0
-40,0,40,0,5,20,10,20,3.965,200,0
-40,0,40,0,10,20,15,20,4.394,200,0
-40,0,40,0,15,20,20,20,4.462,200,0
